part,part_title,printed_page,pdf_page,width,height,path
0,,,1,4143,2957,/home/claude/charts_by_part/front_matter/p000_chart-000.jpg
0,,,1,1094,443,/home/claude/charts_by_part/front_matter/p000_chart-001.jpg
0,,,2,1080,1080,/home/claude/charts_by_part/front_matter/p000_chart-003.jpg
0,,,3,1080,1080,/home/claude/charts_by_part/front_matter/p000_chart-010.jpg
0,,,4,1080,1080,/home/claude/charts_by_part/front_matter/p000_chart-013.jpg
0,,,8,788,294,/home/claude/charts_by_part/front_matter/p000_chart-024.jpg
0,,,9,1076,652,/home/claude/charts_by_part/front_matter/p000_chart-027.jpg
1,Chu Kỳ Thị Trường,2,10,864,648,/home/claude/charts_by_part/part_01/p002_chart-030.jpg
1,Chu Kỳ Thị Trường,2,10,864,864,/home/claude/charts_by_part/part_01/p002_chart-031.jpg
1,Chu Kỳ Thị Trường,3,11,1043,623,/home/claude/charts_by_part/part_01/p003_chart-034.jpg
1,Chu Kỳ Thị Trường,4,12,1383,680,/home/claude/charts_by_part/part_01/p004_chart-039.jpg
2,Richard D. Wyckoff - Các Quy tắc Thực sự của Trò chơi,5,13,864,864,/home/claude/charts_by_part/part_02/p005_chart-044.jpg
2,Richard D. Wyckoff - Các Quy tắc Thực sự của Trò chơi,6,14,768,576,/home/claude/charts_by_part/part_02/p006_chart-047.jpg
3,Hành động Dừng của Xu hướng Giảm,8,16,864,864,/home/claude/charts_by_part/part_03/p008_chart-052.jpg
3,Hành động Dừng của Xu hướng Giảm,9,17,720,428,/home/claude/charts_by_part/part_03/p009_chart-055.jpg
3,Hành động Dừng của Xu hướng Giảm,10,18,810,481,/home/claude/charts_by_part/part_03/p010_chart-058.jpg
3,Hành động Dừng của Xu hướng Giảm,10,18,720,428,/home/claude/charts_by_part/part_03/p010_chart-059.jpg
3,Hành động Dừng của Xu hướng Giảm,11,19,720,428,/home/claude/charts_by_part/part_03/p011_chart-062.jpg
3,Hành động Dừng của Xu hướng Giảm,11,19,720,428,/home/claude/charts_by_part/part_03/p011_chart-063.jpg
